date,x1,x2,x3,x4,x5,x6,location
9/2/2021,32,39,2,1,2,30,8
9/1/2021,15,34,2,1,2,30,8
8/31/2021,82,27,3,1,3,22,8
8/30/2021,96,22,4,1,4,70,8
8/29/2021,67,33,4,1,4,90,8
8/28/2021,86,41,2,1,4,54,8
8/27/2021,72,43,4,1,3,78,8
8/26/2021,56,25,4,1,3,72,8
8/25/2021,24,37,4,1,4,64,8
8/24/2021,22,25,3,1,0,28,8
8/23/2021,52,27,2,1,3,20,8
8/22/2021,54,26,5,1,2,48,8
8/21/2021,28,47,3,1,5,46,8
8/20/2021,35,41,2,1,3,22,8
8/19/2021,24,43,4,1,3,26,8
8/18/2021,30,37,2,0,2,20,8
8/17/2021,34,30,3,1,3,24,8
8/16/2021,41,35,3,1,2,24,8
8/15/2021,33,43,5,1,2,32,8
8/14/2021,36,36,2,0,2,24,8
8/13/2021,53,30,3,0,2,26,8
8/12/2021,70,40,4,1,3,40,8
8/11/2021,60,58,6,1,3,54,8
8/10/2021,48,55,5,1,3,48,8
8/9/2021,19,35,4,1,2,34,8
8/8/2021,50,35,2,1,2,14,8
8/7/2021,51,32,5,1,2,40,8
8/6/2021,54,69,5,1,2,38,8
8/5/2021,61,42,5,1,2,42,8
8/4/2021,50,49,8,1,3,54,8
8/3/2021,40,40,5,1,2,40,8
8/2/2021,26,28,5,0,2,36,8
8/1/2021,63,20,4,1,2,26,8
7/31/2021,43,55,4,2,3,56,8
7/30/2021,69,47,4,1,3,36,8
7/29/2021,68,67,4,1,3,54,8
7/28/2021,57,71,4,1,3,58,8
7/27/2021,49,51,4,1,2,42,8
7/26/2021,45,57,4,1,2,38,8
7/25/2021,48,35,3,1,2,32,8
7/24/2021,49,36,3,1,2,32,8
7/23/2021,51,39,4,1,2,36,8
7/22/2021,45,39,3,1,2,32,8
7/21/2021,48,37,4,1,2,30,8
7/20/2021,53,32,4,1,2,32,8
7/19/2021,26,42,4,1,2,42,8
7/18/2021,22,23,3,1,1,20,8
7/17/2021,27,31,2,1,1,20,8
7/16/2021,40,27,2,1,1,22,8
7/15/2021,27,41,3,1,1,26,8
7/14/2021,43,23,3,1,0,74,8
7/13/2021,57,25,3,1,1,58,8
7/12/2021,62,32,3,1,2,60,8
7/11/2021,0,18,4,1,2,38,8
7/10/2021,0,33,3,1,2,66,8
7/9/2021,45,46,3,1,3,70,8
7/8/2021,49,46,4,1,3,52,8
7/7/2021,0,43,4,1,2,58,8
7/6/2021,70,33,4,1,2,60,8
7/5/2021,56,49,5,1,2,80,8
7/4/2021,0,22,6,1,2,100,8
6/28/2021,60,0,0,0,0,0,8
6/27/2021,61,12,8,0,2,58,8
6/26/2021,61,49,4,0,1,46,8
6/25/2021,108,39,3,1,1,50,8
6/24/2021,81,65,6,0,1,100,8
6/23/2021,46,57,6,1,2,68,8
6/22/2021,63,35,4,1,1,38,8
6/21/2021,124,63,6,0,1,56,8
6/20/2021,116,75,6,1,3,116,8
6/19/2021,119,80,5,1,3,102,8
6/18/2021,65,63,6,1,2,104,8
6/17/2021,57,27,6,1,1,42,8
6/16/2021,36,33,5,0,1,40,8
6/15/2021,83,35,2,1,1,24,8
6/14/2021,101,24,6,1,3,64,8
6/13/2021,104,66,7,1,3,90,8
6/12/2021,77,69,7,1,3,88,8
6/11/2021,75,52,5,1,3,62,8
6/10/2021,101,46,4,1,3,52,8
6/9/2021,93,61,6,1,2,80,8
6/8/2021,92,86,6,1,3,76,8
6/7/2021,99,65,6,1,2,80,8
6/6/2021,118,44,6,1,2,92,8
6/5/2021,92,70,3,1,3,112,8
6/4/2021,66,70,4,1,2,90,8
6/3/2021,82,58,4,1,1,60,8
6/2/2021,106,32,5,1,2,62,8
6/1/2021,82,75,5,1,3,96,8
5/31/2021,71,61,3,1,2,82,8
5/30/2021,68,55,2,0,2,66,8
5/29/2021,63,60,2,1,3,62,8
5/28/2021,75,41,3,1,3,56,8
5/27/2021,77,55,1,0,5,74,8
5/26/2021,71,39,4,0,2,78,8
5/25/2021,69,44,2,0,2,88,8
5/24/2021,108,49,3,1,3,160,8
5/23/2021,84,48,3,1,3,114,8
5/22/2021,77,61,2,0,3,84,8
5/21/2021,29,65,2,1,2,70,8
5/20/2021,75,36,1,1,2,20,8
5/19/2021,84,39,6,1,3,66,8
5/18/2021,75,95,3,2,3,82,8
5/17/2021,33,56,3,0,3,66,8
5/16/2021,31,23,4,1,2,20,8
5/15/2021,84,24,1,1,2,18,8
5/14/2021,96,34,3,1,3,66,8
5/13/2021,79,71,5,1,3,114,8
5/12/2021,43,86,5,2,2,76,8
5/11/2021,50,52,2,1,1,34,8
5/10/2021,50,41,3,1,2,46,8
5/9/2021,68,29,3,1,1,36,8
5/8/2021,192,46,2,1,1,134,8
5/7/2021,134,54,2,1,2,708,8
5/6/2021,72,38,4,1,2,496,8
5/5/2021,60,62,3,1,1,116,8
5/4/2021,82,44,1,1,2,86,8
5/3/2021,71,23,7,1,2,74,8
5/2/2021,48,54,4,1,2,66,8
5/1/2021,70,46,1,0,1,36,8
4/30/2021,72,41,1,1,2,68,8
4/29/2021,94,44,3,1,2,72,8
4/28/2021,78,49,9,1,3,116,8
4/27/2021,90,29,3,1,2,112,8
4/26/2021,45,47,7,1,2,100,8
4/25/2021,54,48,1,1,1,40,8
4/24/2021,55,46,3,1,0,60,8
4/23/2021,58,47,4,1,1,58,8
4/22/2021,113,41,5,1,2,70,8
4/21/2021,112,82,6,3,3,124,8
4/20/2021,118,99,7,2,3,122,8
4/19/2021,88,110,6,2,3,126,8
4/18/2021,59,77,5,2,3,104,8
4/17/2021,70,42,2,0,2,66,8
4/16/2021,82,38,3,1,1,142,8
4/15/2021,82,38,6,1,2,114,8
4/14/2021,65,55,4,1,2,84,8
4/13/2021,50,44,4,1,0,64,8
4/12/2021,60,39,2,0,2,38,8
4/11/2021,98,38,4,1,2,54,8
4/10/2021,71,66,4,0,2,100,8
4/9/2021,58,64,3,1,1,70,8
4/8/2021,86,47,3,0,0,56,8
4/7/2021,67,46,7,1,2,90,8
4/6/2021,91,57,6,1,3,70,8
4/5/2021,49,55,12,1,2,84,8
4/4/2021,24,42,3,1,1,40,8
4/3/2021,56,36,1,1,2,20,8
4/2/2021,54,32,6,1,3,62,8
4/1/2021,63,45,2,0,0,78,8
3/31/2021,79,44,6,1,2,82,8
3/30/2021,109,43,5,1,2,82,8
3/29/2021,124,39,6,1,3,220,8
3/28/2021,55,37,2,1,3,484,8
3/27/2021,101,44,1,0,2,38,8
3/26/2021,126,40,6,1,3,98,8
3/25/2021,91,58,6,1,3,126,8
3/24/2021,112,49,7,1,3,88,8
3/23/2021,119,55,7,1,2,124,8
3/22/2021,71,51,7,2,3,146,8
3/21/2021,111,38,5,1,3,82,8
3/20/2021,62,37,2,0,4,98,8
3/19/2021,65,34,4,0,3,56,8
3/18/2021,119,43,3,1,1,90,8
3/17/2021,84,50,14,1,3,152,8
3/16/2021,72,40,10,1,2,144,8
3/15/2021,138,36,6,1,2,132,8
3/14/2021,142,50,6,1,3,118,8
3/13/2021,88,48,5,1,3,118,8
3/12/2021,134,42,5,0,2,78,8
3/11/2021,164,38,13,1,3,122,8
3/10/2021,135,54,13,2,3,160,8
3/9/2021,134,54,7,1,3,120,8
3/8/2021,127,37,13,1,2,120,8
3/7/2021,73,45,8,0,3,110,8
3/6/2021,75,36,4,1,2,62,8
3/5/2021,89,33,6,0,2,64,8
3/4/2021,92,34,11,1,2,84,8
3/3/2021,74,22,10,1,2,80,8
3/2/2021,33,33,6,1,2,60,8
3/1/2021,50,34,2,1,1,20,8
2/28/2021,78,31,5,1,2,34,8
2/27/2021,53,38,4,1,2,68,8
2/26/2021,85,37,4,0,1,44,8
2/25/2021,116,36,10,1,2,74,8
2/24/2021,88,17,23,1,3,112,8
2/23/2021,65,29,15,1,2,102,8
2/22/2021,98,25,12,1,2,98,8
2/21/2021,123,39,10,1,2,104,8
2/20/2021,110,52,8,1,4,120,8
2/19/2021,85,41,7,1,3,112,8
2/18/2021,62,41,10,1,2,86,8
2/17/2021,55,25,8,1,2,78,8
2/16/2021,59,27,5,1,2,72,8
2/15/2021,101,29,8,1,2,44,8
2/14/2021,148,32,8,2,3,92,8
2/13/2021,146,41,11,2,4,122,8
2/12/2021,150,51,9,2,4,124,8
2/11/2021,133,45,8,2,3,124,8
2/10/2021,85,37,7,1,3,110,8
2/9/2021,65,29,10,1,2,74,8
2/8/2021,67,27,8,1,2,50,8
2/7/2021,145,24,7,1,2,56,8
2/6/2021,109,33,7,1,4,142,8
2/5/2021,73,34,10,1,2,100,8
2/4/2021,67,26,12,1,2,62,8
2/3/2021,70,27,10,1,2,54,8
2/2/2021,67,27,8,2,2,64,8
2/1/2021,124,27,7,1,2,64,8
